1.946099	1.946099	A
3.863109	3.863109	D
5.783212	5.783212	W
7.703314	7.703314	D
9.625891	9.625891	W
11.548468	11.548468	S
13.457436	13.457436	D
15.388673	15.388673	A
17.298878	17.298878	A
19.215888	19.215888	D
21.135990	21.135990	W
23.056093	23.056093	D
24.978670	24.978670	W
26.901247	26.901247	S
28.810215	28.810215	D
30.741452	30.741452	A
32.659699	32.659699	A
34.576708	34.576708	D
36.496811	36.496811	W
38.416913	38.416913	D
40.339490	40.339490	W
42.262067	42.262067	S
44.171035	44.171035	D
46.102272	46.102272	A
48.025468	48.025468	A
49.942478	49.942478	D
51.862580	51.862580	W
53.782683	53.782683	D
55.705260	55.705260	W
57.627837	57.627837	S
59.536804	59.536804	D
61.468042	61.468042	A
