1.898769	1.898769	D
2.277276	2.277282	D
3.021897	3.021897	W
3.401962	3.401962	A
4.152006	4.152006	S
4.525090	4.525090	S
5.277462	5.277462	D
5.652096	5.652096	A
6.400590	6.400590	A
6.776000	6.776000	A
7.523718	7.523718	S
7.899128	7.899128	D
8.649949	8.649949	S
9.025359	10.519244	W
10.902446	10.902446	S
11.274718	11.274718	S
12.027908	12.027908	S
12.400949	12.400949	A
13.148667	13.148667	S
13.527179	13.527179	W
14.274897	14.274897	S
14.650308	14.650308	D
15.401128	15.401128	S
15.773436	15.773436	S
16.524256	16.524256	S
16.899667	16.899667	A
17.650487	17.650487	S
18.025897	19.142821	D
21.773795	21.773795	D
23.028850	23.028850	A
23.528623	23.528623	W
24.020229	24.020229	S
24.773194	24.773194	W
25.025220	25.025220	D
25.277246	25.277246	D
25.401703	25.401703	D
25.526160	25.526160	D
25.775074	25.775074	D
26.027100	26.027100	W
26.276014	26.276014	D
26.524929	26.524929	D
27.028591	27.028591	A
27.528364	27.528364	W
28.019970	28.019970	S
28.772936	28.772936	W
29.024961	29.024961	D
29.275431	29.275431	D
29.399889	29.399889	D
29.524346	29.524346	D
29.773260	29.773260	D
30.026841	30.026841	S
30.775140	30.775140	S
31.030277	31.030277	W
31.276080	31.276080	A
31.524994	31.524994	A
31.777020	31.777020	A
32.025934	32.025934	W
32.274849	32.274849	A
32.526874	32.526874	A
33.024703	33.024703	W
33.270506	33.270506	A
33.525643	33.525643	A
33.774557	33.774557	A
34.020360	34.020360	W
34.269274	34.269274	A
34.521300	34.521300	A
35.028463	35.028463	A
35.526291	35.526291	W
36.027231	36.027231	S
36.777086	36.777086	D
37.026000	37.026000	D
37.274914	37.274914	D
37.399371	37.399371	D
37.523829	37.523829	D
37.772743	37.772743	D
38.021657	38.021657	D
38.525709	38.525709	D
